X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25
0.012190608,-0.04049014,-0.04262592,-0.03093598,-0.04906112,-0.044373438,-0.043150066,-0.02414625,-0.057115899,-0.04545418,-0.017780624,-0.023641696,-0.005528207,-0.03999751,-0.044336751,-0.02390244,-0.007458163,-0.027744879,0.01772366,0.2340641,0.075933715,0.11881086,-0.038168861,0.24282149,-0.012802019
0.012190608,-0.04049014,-0.04262592,-0.03093598,-0.04906112,-0.044373438,-0.043150066,-0.02414625,-0.057115899,-0.04545418,-0.017780624,-0.023641696,-0.005528207,-0.03999751,-0.044336751,-0.02390244,-0.007458163,-0.027744879,0.01772366,0.2340641,0.075933715,0.11881086,-0.038168861,0.24282149,-0.012802019
0.209767361,-0.03168782,-0.04074046,-0.012260797,-0.04391093,-0.035310064,-0.024595401,-0.023289158,-0.035204056,-0.02491823,-0.014645767,-0.025161596,0.000243929,-0.02453752,-0.04221259,-0.01728477,0.002584506,-0.018584975,-0.00011611,0.22864,0.034247379,0.14206449,-0.008031654,0.033461185,-0.006132623
0.192482657,-0.028249046,-0.04210276,-0.011802151,-0.044772763,-0.033909267,-0.01479954,-0.028421875,-0.025439232,-0.03015357,-0.007639037,-0.028458546,-0.015202727,-0.02383895,-0.04303455,-0.02291815,0.002661633,-0.024822715,0.004788026,0.2510711,0.016746012,0.10035808,-0.011035513,0.016180427,-0.00976864
0.13898661,-0.016285292,-0.04132813,-0.009640677,-0.040694408,-0.032288782,-0.010734597,-0.03211643,-0.018176588,-0.03725274,-0.006560524,-0.030491567,-0.023689506,-0.02563676,-0.04049931,-0.0291366,0.001902308,-0.025608896,0.01234884,0.2718026,0.012616434,0.07064245,-0.012268048,0.005219701,-0.016811072
0.07702575,0.004025545,-0.03831596,-0.00451645,-0.032452933,-0.027768058,-0.011005502,-0.032101731,-0.011987679,-0.03894516,-0.013651955,-0.02807177,-0.02557446,-0.02732666,-0.03575189,-0.03243149,0.001295307,-0.020314988,0.020472031,0.2797257,0.012456333,0.05096379,-0.008385246,-0.003013268,-0.023421126
0.027795137,0.023151385,-0.03590299,0.003302769,-0.022719637,-0.020665973,-0.012162795,-0.028462371,-0.006883637,-0.02988806,-0.023453172,-0.021012675,-0.022461662,-0.0271761,-0.02994046,-0.03259592,0.000261705,-0.012081873,0.025286448,0.2636512,0.010213711,0.03994353,0.001184022,-0.009117779,-0.02632996
-0.000487227,0.02868838,-0.03532746,0.012635452,-0.013942755,-0.013482554,-0.012550681,-0.023716708,-0.002880982,-0.01353018,-0.028898214,-0.012863144,-0.018238774,-0.02542416,-0.02471688,-0.03250688,-0.001118922,-0.005379399,0.025646645,0.2311671,0.005193129,0.03627031,0.013721138,-0.012199632,-0.025836808
-0.01295952,0.022253015,-0.03411945,0.021379085,-0.005047766,-0.00808271,-0.012008876,-0.018544694,0.002153464,0.00318743,-0.02880359,-0.008371653,-0.016464605,-0.02369442,-0.02081488,-0.03408562,-0.001741931,-0.000306912,0.024951474,0.2014586,0.001759836,0.03735764,0.027319967,-0.011243991,-0.023619551
-0.017906133,0.014844705,-0.0305029,0.026107744,0.006283671,-0.004628791,-0.011012297,-0.012001438,0.010355906,0.01858409,-0.02581387,-0.008325194,-0.016223671,-0.02333918,-0.01787869,-0.03646903,-0.001881063,0.005454196,0.025348594,0.1833126,0.002863768,0.03790902,0.039988977,-0.007099707,-0.020939637
-0.020021543,0.012706454,-0.02537999,0.02600561,0.019950053,-0.002217382,-0.010032114,-0.004993395,0.020542935,0.03435746,-0.023127528,-0.00920345,-0.015278557,-0.02405406,-0.0152971,-0.03766228,-0.003277553,0.01159063,0.025583056,0.1735842,0.006797651,0.0332085,0.046813998,-0.002657775,-0.018710399
-0.020992267,0.015075967,-0.02136455,0.023860798,0.032804791,-0.000412658,-0.009644907,-0.000731037,0.02846711,0.05092946,-0.023170446,-0.008500911,-0.014156339,-0.02506641,-0.01314712,-0.03747971,-0.007126319,0.014517298,0.023803624,0.1666648,0.009144627,0.0235962,0.043970224,-0.001340353,-0.017669951
0.001040646,0.028006,0.008303645,0.001902628,0.05928695,0.011986361,-0.007675425,0.078204126,0.031308809,0.158264211,-0.001896505,-0.005245546,-0.009502773,-0.01334568,0.004289783,-0.02898614,-0.007264324,0.01448985,0.06459262,0.2829097,-0.010004221,-0.02326092,-0.002389201,0.03666604,-0.011125013
0.001040646,0.028006,0.008303645,0.001902628,0.05928695,0.011986361,-0.007675425,0.078204126,0.031308809,0.158264211,-0.001896505,-0.005245546,-0.009502773,-0.01334568,0.004289783,-0.02898614,-0.007264324,0.01448985,0.06459262,0.2829097,-0.010004221,-0.02326092,-0.002389201,0.03666604,-0.011125013
0.001040646,0.028006,0.008303645,0.001902628,0.05928695,0.011986361,-0.007675425,0.078204126,0.031308809,0.158264211,-0.001896505,-0.005245546,-0.009502773,-0.01334568,0.004289783,-0.02898614,-0.007264324,0.01448985,0.06459262,0.2829097,-0.010004221,-0.02326092,-0.002389201,0.03666604,-0.011125013
0.001040646,0.028006,0.008303645,0.001902628,0.05928695,0.011986361,-0.007675425,0.078204126,0.031308809,0.158264211,-0.001896505,-0.005245546,-0.009502773,-0.01334568,0.004289783,-0.02898614,-0.007264324,0.01448985,0.06459262,0.2829097,-0.010004221,-0.02326092,-0.002389201,0.03666604,-0.011125013
0.001040646,0.028006,0.008303645,0.001902628,0.05928695,0.011986361,-0.007675425,0.078204126,0.031308809,0.158264211,-0.001896505,-0.005245546,-0.009502773,-0.01334568,0.004289783,-0.02898614,-0.007264324,0.01448985,0.06459262,0.2829097,-0.010004221,-0.02326092,-0.002389201,0.03666604,-0.011125013
0.001040646,0.028006,0.008303645,0.001902628,0.05928695,0.011986361,-0.007675425,0.078204126,0.031308809,0.158264211,-0.001896505,-0.005245546,-0.009502773,-0.01334568,0.004289783,-0.02898614,-0.007264324,0.01448985,0.06459262,0.2829097,-0.010004221,-0.02326092,-0.002389201,0.03666604,-0.011125013
