Run,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204,V205,V206,V207,V208,V209,V210,V211,V212,V213,V214,V215,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V240,V241,V242,V243,V244,V245,V246,V247,V248,V249,V250
1,1.0,1.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,4.0,4.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.0,2.0,2.0,1.0,4.0,4.0,3.0,3.0,2.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3.0,4.0,1.0,2.0,4.0,1.0,3.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,4.0,1.0,3.0,3.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,1.0,4.0,3.0,3.0,4.0,2.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,6.0,8.0,10.0,16.0,21.0,28.0,32.0,40.0,53.0,68.0,94.0,116.0,137.0,166.0,206.0,232.0,283.0,329.0,399.0,472.0,568.0,680.0,805.0,972.0,1144.0,1337.0,1565.0,1836.0,2127.0,2432.0,2770.0,3083.0,3398.0,3697.0,3986.0,4253.0,4488.0,4690.0,4888.0,5088.0,5294.0,5468.0,5651.0,5825.0,5992.0,6138.0,6304.0,6452.0,6622.0,6765.0,6909.0,7050.0,7197.0,7301.0,7405.0,7525.0,7629.0,7737.0,7869.0,7980.0,8066.0,8166.0,8254.0,8334.0,8422.0,8518.0,8587.0,8656.0,8730.0,8783.0,8842.0,8926.0,8978.0,9036.0,9116.0,9181.0,9252.0,9298.0,9344.0,9405.0,9440.0,9486.0,9532.0,9588.0,9628.0,9677.0,9732.0,9767.0,9795.0,9823.0,9868.0,9897.0,9930.0,9971.0,9998.0,10025.0,10059.0,10082.0,10113.0,10143.0,10174.0,10196.0,10215.0,10241.0,10272.0,10298.0,10310.0,10330.0,10354.0,10376.0,10401.0,10422.0,10440.0,10459.0,10470.0,10489.0,10504.0,10522.0,10539.0,10554.0,10567.0,10574.0,10586.0,10599.0,10615.0,10632.0,10638.0,10648.0,10656.0,10667.0,10681.0,10689.0,10699.0,10704.0,10713.0,10721.0,10728.0,10734.0,10740.0,10746.0,10750.0,10754.0,10762.0,10768.0,10777.0,10780.0,10791.0,10799.0,10804.0,10808.0,10816.0,10824.0,10831.0,10838.0,10845.0,10855.0,10859.0,10865.0,10867.0,10869.0,10872.0,10874.0,10875.0,10878.0,10881.0,10884.0,10885.0,10888.0,10892.0,10899.0,10904.0,10906.0,10910.0,10912.0,10914.0,10915.0,10921.0,10925.0,10925.0,10926.0,10929.0,10930.0,10931.0,10933.0,10934.0,10938.0,10939.0,10941.0,10944.0,10944.0,10945.0,10947.0,10949.0,10952.0,10952.0,10953.0,10954.0,10957.0,10957.0,10957.0,10958.0,10961.0,10963.0,10964.0,10964.0,10966.0,10966.0,10969.0,10970.0,10970.0,10971.0
6,1.0,4.0,4.0,1.0,2.0,3.0,4.0,4.0,4.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2.0,3.0,3.0,3.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,4.0,1.0,4.0,2.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,4.0,5.0,5.0,6.0,7.0,10.0,13.0,18.0,20.0,28.0,35.0,52.0,69.0,83.0,112.0,152.0,200.0,261.0,319.0,415.0,484.0,574.0,667.0,775.0,894.0,1028.0,1225.0,1437.0,1670.0,1915.0,2192.0,2444.0,2733.0,3002.0,3247.0,3539.0,3782.0,4057.0,4314.0,4554.0,4780.0,4967.0,5204.0,5404.0,5589.0,5772.0,5950.0,6133.0,6286.0,6429.0,6599.0,6766.0,6903.0,7029.0,7153.0,7287.0,7405.0,7525.0,7644.0,7741.0,7854.0,7952.0,8030.0,8129.0,8213.0,8285.0,8359.0,8441.0,8510.0,8577.0,8652.0,8722.0,8800.0,8858.0,8934.0,8999.0,9062.0,9099.0,9148.0,9208.0,9261.0,9319.0,9368.0,9418.0,9461.0,9506.0,9555.0,9614.0,9645.0,9684.0,9714.0,9748.0,9784.0,9822.0,9858.0,9903.0,9935.0,9972.0,10006.0,10044.0,10074.0,10102.0,10132.0,10159.0,10194.0,10224.0,10252.0,10280.0,10307.0,10331.0,10344.0,10365.0,10380.0,10403.0,10419.0,10436.0,10449.0,10471.0,10497.0,10510.0,10525.0,10543.0,10558.0,10568.0,10585.0,10603.0,10609.0,10624.0,10638.0,10652.0,10661.0,10670.0,10676.0,10686.0,10699.0,10704.0,10712.0,10724.0,10737.0,10747.0,10753.0,10762.0,10773.0,10775.0,10781.0,10788.0,10792.0,10800.0,10804.0,10812.0,10817.0,10818.0,10823.0,10829.0,10837.0,10843.0,10846.0,10850.0,10852.0,10856.0,10860.0,10863.0,10866.0,10868.0,10876.0,10878.0,10882.0,10885.0,10887.0,10889.0,10894.0,10896.0,10901.0,10903.0,10906.0,10906.0,10912.0,10913.0,10915.0,10917.0,10919.0,10920.0,10920.0,10921.0,10923.0,10926.0,10931.0,10934.0,10935.0,10936.0,10939.0,10942.0,10942.0,10945.0,10946.0,10947.0,10947.0,10948.0,10949.0,10950.0,10950.0,10954.0,10956.0,10957.0,10959.0,10959.0,10959.0,10959.0,10961.0,10963.0,10964.0
8,1.0,3.0,3.0,2.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,3.0,1.0,2.0,4.0,4.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,4.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,4.0,4.0,3.0,1.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,6.0,8.0,9.0,11.0,12.0,13.0,15.0,18.0,21.0,26.0,30.0,37.0,42.0,48.0,53.0,59.0,64.0,71.0,81.0,91.0,95.0,107.0,112.0,120.0,131.0,138.0,148.0,160.0,176.0,182.0,194.0,202.0,213.0,227.0,236.0,244.0,258.0,271.0,282.0,291.0,294.0,310.0,314.0,321.0,332.0,339.0,346.0,353.0,362.0,367.0,369.0,373.0,377.0,381.0,388.0,393.0,396.0,401.0,405.0,409.0,413.0,418.0,421.0,422.0,424.0,429.0,433.0,436.0,438.0,440.0,443.0,444.0,445.0,447.0,447.0,448.0,451.0,451.0,453.0,453.0,454.0,456.0,457.0,458.0,461.0,461.0,462.0,463.0,463.0,466.0,468.0,471.0,471.0,471.0,473.0,475.0,475.0,476.0,478.0,479.0,480.0,481.0,481.0,482.0,482.0,482.0,484.0,485.0,487.0,487.0,488.0,489.0,491.0,491.0,493.0,494.0,495.0,495.0,496.0,497.0,499.0,501.0,502.0,502.0,502.0,505.0,507.0,507.0,508.0,510.0,510.0,512.0,514.0,514.0,514.0,515.0,519.0,521.0,522.0,523.0,525.0,526.0,528.0,528.0,530.0,532.0,534.0,536.0,536.0,537.0,538.0,539.0,539.0,539.0,540.0,543.0,543.0,544.0,546.0,547.0,547.0,548.0,549.0,549.0,550.0,551.0,552.0,553.0,554.0,555.0,555.0,557.0,559.0,560.0,562.0,564.0,564.0,565.0,566.0,566.0,567.0,568.0,568.0,570.0,570.0,570.0,575.0,577.0,577.0,578.0,581.0,585.0,586.0,587.0,588.0,588.0,588.0,589.0,589.0,589.0,591.0,592.0,594.0,598.0,599.0,601.0,603.0,604.0,606.0
10,2.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,3.0,3.0,4.0,1.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,7.0,7.0,9.0,9.0,14.0,20.0,22.0,29.0,36.0,49.0,60.0,76.0,88.0,106.0,132.0,171.0,197.0,220.0,255.0,302.0,354.0,413.0,474.0,540.0,630.0,724.0,836.0,936.0,1082.0,1233.0,1419.0,1616.0,1810.0,2053.0,2263.0,2492.0,2751.0,2995.0,3228.0,3503.0,3736.0,3962.0,4175.0,4378.0,4599.0,4808.0,4994.0,5189.0,5391.0,5573.0,5733.0,5895.0,6030.0,6188.0,6332.0,6465.0,6589.0,6739.0,6873.0,7018.0,7131.0,7243.0,7352.0,7472.0,7573.0,7678.0,7788.0,7886.0,7977.0,8068.0,8157.0,8244.0,8335.0,8414.0,8485.0,8573.0,8636.0,8723.0,8780.0,8844.0,8909.0,8986.0,9057.0,9123.0,9167.0,9224.0,9291.0,9346.0,9393.0,9440.0,9495.0,9539.0,9575.0,9626.0,9662.0,9706.0,9729.0,9764.0,9797.0,9821.0,9859.0,9883.0,9909.0,9939.0,9966.0,9994.0,10046.0,10065.0,10094.0,10123.0,10154.0,10177.0,10209.0,10227.0,10249.0,10267.0,10292.0,10313.0,10329.0,10350.0,10365.0,10385.0,10396.0,10412.0,10431.0,10443.0,10456.0,10470.0,10488.0,10504.0,10509.0,10520.0,10536.0,10552.0,10564.0,10572.0,10587.0,10606.0,10618.0,10629.0,10641.0,10648.0,10661.0,10669.0,10685.0,10692.0,10700.0,10708.0,10722.0,10730.0,10739.0,10744.0,10753.0,10762.0,10772.0,10782.0,10790.0,10795.0,10799.0,10805.0,10813.0,10820.0,10824.0,10831.0,10835.0,10837.0,10839.0,10840.0,10847.0,10848.0,10852.0,10856.0,10863.0,10867.0,10867.0,10872.0,10878.0,10883.0,10891.0,10891.0,10894.0,10896.0,10897.0,10900.0,10902.0,10904.0,10907.0,10910.0,10912.0,10915.0,10919.0,10919.0,10921.0
