X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25
0.1731591,0.0242649,0.04581419,0.05547281,0.02476911,0.030029686,0.0152637,0.02848424,0.02621432,0.08719883,0.01879523,0.04575119,0.02020569,0.023444344,0.009958469,0.013306434,0.02955637,0.05547985,0.02347655,0.06795503,0.04079871,0.08263458,0.07795991,0.01415363,0.007999308
0.1731591,0.0242649,0.04581419,0.05547281,0.02476911,0.030029686,0.0152637,0.02848424,0.02621432,0.08719883,0.01879523,0.04575119,0.02020569,0.023444344,0.009958469,0.013306434,0.02955637,0.05547985,0.02347655,0.06795503,0.04079871,0.08263458,0.07795991,0.01415363,0.007999308
0.00445489,0.03169108,0.03844555,0.06680962,0.02836877,0.0801261,0.04106154,0.03035083,0.04370603,0.05441748,0.01966401,0.05975345,0.01248247,0.06432867,0.08716395,0.02856125,0.02866108,0.04751238,0.02439157,0.2088106,0.0866814,0.015216037,0.01744782,0.05106025,0.0497124
0.008703123,0.02761496,0.04251699,0.09842719,0.0192077,0.0766995,0.02912651,0.03459931,0.05297576,0.13548941,0.02398685,0.09395053,0.01458235,0.04623163,0.06549124,0.03043776,0.02488287,0.0304884,0.02514161,0.3397425,0.07677021,0.01634173,0.01850895,0.05679893,0.0482688
0.008359896,0.02910391,0.05551,0.12350902,0.01282716,0.07624208,0.03179052,0.03283364,0.08089561,0.15902516,0.0256183,0.10605476,0.01637776,0.03621847,0.04094547,0.03649935,0.02820687,0.01822631,0.02279069,0.3539256,0.05468394,0.011689156,0.01625486,0.07021336,0.07163953
0.006382601,0.03506432,0.06198614,0.12798294,0.01331593,0.07676095,0.03398117,0.03017807,0.1014837,0.13649765,0.02471188,0.10003352,0.01764082,0.03722952,0.03591167,0.04129116,0.03541261,0.02013068,0.02119754,0.3085277,0.04464934,0.00815428,0.0146962,0.07611009,0.08807721
0.005031361,0.04122257,0.06445648,0.12646473,0.0152512,0.07940478,0.03511621,0.02806571,0.11622856,0.11309846,0.0227009,0.09249109,0.01908585,0.04044679,0.03914455,0.04427358,0.04102291,0.02620734,0.0207684,0.2619304,0.0416525,0.006413655,0.01441382,0.07664756,0.09327734
0.004303895,0.04533198,0.06537935,0.1242555,0.01647946,0.08350614,0.03655248,0.02588346,0.1270324,0.09819752,0.02053572,0.08654352,0.02045121,0.04313618,0.04315911,0.04585518,0.0437521,0.03210844,0.02079836,0.2223723,0.04075497,0.005542857,0.01465541,0.07624998,0.09336911
0.003864354,0.04671514,0.06522551,0.12155107,0.0169356,0.08707717,0.03783932,0.02356639,0.13189005,0.09016734,0.0189217,0.08183732,0.02124919,0.04476006,0.04596089,0.04621912,0.0446277,0.03720072,0.02090024,0.1920688,0.04079142,0.005073491,0.01498413,0.07750452,0.0931633
0.003489445,0.04622431,0.06422199,0.11778955,0.01712379,0.08870577,0.03870485,0.02157843,0.13029027,0.085754,0.0179698,0.07795116,0.02130318,0.04564474,0.0480316,0.0457189,0.04513053,0.04182694,0.02097577,0.171948,0.04152316,0.00481089,0.01525279,0.08098998,0.09414788
0.003150895,0.04514801,0.06310534,0.11345833,0.01735556,0.0889763,0.03934493,0.02029869,0.12584173,0.08277872,0.01741095,0.074781,0.02091751,0.0462257,0.04998885,0.04497627,0.04576461,0.04589535,0.02093013,0.1603939,0.04244668,0.004665492,0.01544785,0.08520534,0.09520922
0.002924723,0.04415806,0.0626797,0.10965121,0.01761078,0.08948303,0.03977916,0.01972628,0.12318729,0.0806709,0.01697696,0.0723002,0.02055948,0.0466444,0.05178576,0.04455189,0.04611844,0.0487832,0.02069917,0.1547256,0.04298594,0.00459179,0.015625,0.0878491,0.09488609
0.3535441,0.01104021,0.02253534,0.0308033,0.009735839,0.012319643,0.008664657,0.02010822,0.03378837,0.17554229,0.006250096,0.01582304,0.01560507,0.00941808,0.004285283,0.009334576,0.01524555,0.08026372,0.03010493,0.17755224,0.01188017,0.02848761,0.03791691,0.01822968,0.004843899
0.3535441,0.01104021,0.02253534,0.0308033,0.009735839,0.012319643,0.008664657,0.02010822,0.03378837,0.17554229,0.006250096,0.01582304,0.01560507,0.00941808,0.004285283,0.009334576,0.01524555,0.08026372,0.03010493,0.17755224,0.01188017,0.02848761,0.03791691,0.01822968,0.004843899
0.3535441,0.01104021,0.02253534,0.0308033,0.009735839,0.012319643,0.008664657,0.02010822,0.03378837,0.17554229,0.006250096,0.01582304,0.01560507,0.00941808,0.004285283,0.009334576,0.01524555,0.08026372,0.03010493,0.17755224,0.01188017,0.02848761,0.03791691,0.01822968,0.004843899
0.3535441,0.01104021,0.02253534,0.0308033,0.009735839,0.012319643,0.008664657,0.02010822,0.03378837,0.17554229,0.006250096,0.01582304,0.01560507,0.00941808,0.004285283,0.009334576,0.01524555,0.08026372,0.03010493,0.17755224,0.01188017,0.02848761,0.03791691,0.01822968,0.004843899
0.3535441,0.01104021,0.02253534,0.0308033,0.009735839,0.012319643,0.008664657,0.02010822,0.03378837,0.17554229,0.006250096,0.01582304,0.01560507,0.00941808,0.004285283,0.009334576,0.01524555,0.08026372,0.03010493,0.17755224,0.01188017,0.02848761,0.03791691,0.01822968,0.004843899
0.3535441,0.01104021,0.02253534,0.0308033,0.009735839,0.012319643,0.008664657,0.02010822,0.03378837,0.17554229,0.006250096,0.01582304,0.01560507,0.00941808,0.004285283,0.009334576,0.01524555,0.08026372,0.03010493,0.17755224,0.01188017,0.02848761,0.03791691,0.01822968,0.004843899
