X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25
0.045755,0.009691369,0.004906286,0.000987726,0.01701612,0.005659844,0.006250577,0.01796492,0.001914496,0.02019191,0.002121336,0.000910111,0.01265388,0.005513142,0.001713873,0.008978115,0.00756807,0.01261359,0.05602006,0.3105288,0.11739306,0.16430422,0.01137646,0.28934279,0.001514868
0.045755,0.009691369,0.004906286,0.000987726,0.01701612,0.005659844,0.006250577,0.01796492,0.001914496,0.02019191,0.002121336,0.000910111,0.01265388,0.005513142,0.001713873,0.008978115,0.00756807,0.01261359,0.05602006,0.3105288,0.11739306,0.16430422,0.01137646,0.28934279,0.001514868
0.25000478,0.02838759,0.03894479,0.02596374,0.003635189,0.01533231,0.01590426,0.002051442,0.004019354,0.015076353,0.017322695,0.009716202,0.02623127,0.007641261,0.02557826,0.02717056,0.01528741,0.009660352,0.01387299,0.275856,0.085324,0.18482448,0.01029861,0.04311644,0.01413827
0.2414288,0.03664189,0.04244816,0.03290131,0.005844022,0.01644721,0.02075308,0.002661682,0.006167786,0.008823636,0.03115339,0.008478696,0.0178033,0.008865158,0.02514013,0.03007884,0.01673486,0.014728737,0.01843633,0.3037502,0.06734485,0.1499584,0.01479324,0.02793377,0.01928705
0.19431367,0.0524497,0.04986069,0.04052745,0.010913244,0.01758008,0.02394324,0.002188674,0.00913343,0.004215114,0.035983207,0.008099315,0.01597683,0.010122188,0.02926566,0.03181054,0.0224454,0.021588834,0.0235497,0.3278049,0.0627421,0.1234672,0.02544699,0.02330405,0.02297842
0.13569946,0.07200569,0.05749142,0.05025025,0.017382216,0.01779954,0.02772511,0.001744709,0.012354692,0.007093604,0.030595943,0.009615174,0.01836284,0.011739749,0.03523876,0.0336263,0.0315052,0.028701793,0.02738303,0.3370781,0.06240515,0.10398654,0.04148239,0.02343374,0.02463441
0.08710529,0.08649267,0.0619339,0.06305593,0.023301954,0.01780398,0.03484269,0.002383638,0.01519636,0.021092087,0.020561088,0.013535323,0.02274748,0.013757952,0.04272529,0.03741414,0.04088113,0.033734282,0.02777852,0.3202001,0.06143187,0.09231618,0.05964231,0.02558292,0.02452848
0.05737081,0.08799189,0.06212779,0.07679768,0.027950572,0.0189956,0.04224457,0.004041519,0.017871259,0.040973601,0.01315142,0.018660553,0.02580961,0.015654927,0.05236753,0.04383211,0.04714234,0.036037019,0.02526508,0.2857911,0.05943652,0.08853104,0.07576648,0.02820082,0.02351106
0.04078801,0.07991371,0.05974654,0.08665012,0.032991061,0.02037485,0.0455227,0.006406406,0.021663852,0.05865308,0.009805223,0.021098396,0.02463233,0.016255001,0.06369829,0.05055393,0.04961732,0.037500821,0.02251212,0.2542911,0.05819528,0.08883753,0.08882647,0.0311059,0.02267124
0.02911831,0.07163343,0.05711012,0.08897785,0.040320798,0.02059187,0.04444803,0.009768037,0.027497125,0.072605404,0.008475437,0.019192567,0.0211228,0.014856498,0.07527473,0.05554598,0.04991345,0.039875511,0.0207598,0.2342128,0.05821117,0.08690626,0.09853032,0.03470843,0.02243925
0.01982451,0.06793815,0.05580762,0.08557467,0.049764505,0.02053236,0.04167921,0.014029104,0.034519228,0.085702132,0.007659812,0.015996981,0.01894447,0.012773199,0.08543942,0.05877423,0.04926997,0.042882782,0.01920953,0.2217957,0.0583489,0.07915659,0.10216809,0.03809927,0.02276776
0.01426267,0.06804092,0.05573308,0.08263927,0.059179879,0.02182505,0.03979197,0.017783589,0.040536255,0.100412137,0.006991279,0.014649369,0.0187001,0.01184198,0.09250353,0.06073545,0.04829516,0.044752844,0.01677136,0.2126212,0.05737422,0.06829374,0.09817689,0.03931829,0.02342775
0.01405529,0.031153038,0.006981237,0.005063657,0.06841507,0.020106139,0.009040689,0.11028849,0.030602765,0.2043317,0.005196573,0.002898723,0.00777572,0.002715757,0.006160267,0.014085629,0.009464619,0.02718066,0.08902525,0.3421617,0.02108111,0.02241706,0.03581108,0.06356066,0.002340388
0.01405529,0.031153038,0.006981237,0.005063657,0.06841507,0.020106139,0.009040689,0.11028849,0.030602765,0.2043317,0.005196573,0.002898723,0.00777572,0.002715757,0.006160267,0.014085629,0.009464619,0.02718066,0.08902525,0.3421617,0.02108111,0.02241706,0.03581108,0.06356066,0.002340388
0.01405529,0.031153038,0.006981237,0.005063657,0.06841507,0.020106139,0.009040689,0.11028849,0.030602765,0.2043317,0.005196573,0.002898723,0.00777572,0.002715757,0.006160267,0.014085629,0.009464619,0.02718066,0.08902525,0.3421617,0.02108111,0.02241706,0.03581108,0.06356066,0.002340388
0.01405529,0.031153038,0.006981237,0.005063657,0.06841507,0.020106139,0.009040689,0.11028849,0.030602765,0.2043317,0.005196573,0.002898723,0.00777572,0.002715757,0.006160267,0.014085629,0.009464619,0.02718066,0.08902525,0.3421617,0.02108111,0.02241706,0.03581108,0.06356066,0.002340388
0.01405529,0.031153038,0.006981237,0.005063657,0.06841507,0.020106139,0.009040689,0.11028849,0.030602765,0.2043317,0.005196573,0.002898723,0.00777572,0.002715757,0.006160267,0.014085629,0.009464619,0.02718066,0.08902525,0.3421617,0.02108111,0.02241706,0.03581108,0.06356066,0.002340388
0.01405529,0.031153038,0.006981237,0.005063657,0.06841507,0.020106139,0.009040689,0.11028849,0.030602765,0.2043317,0.005196573,0.002898723,0.00777572,0.002715757,0.006160267,0.014085629,0.009464619,0.02718066,0.08902525,0.3421617,0.02108111,0.02241706,0.03581108,0.06356066,0.002340388
